Unnamed: 0_x,identifier_x,name_x,period_formatted,period_yyyymmdd_x,ticker,sub_ind_code_x,fut_1w_ret,fut_1m_ret,fut_2m_ret,fut_3m_ret,fut_4m_ret,fut_5m_ret,fut_6m_ret,fut_7m_ret,fut_8m_ret,fut_9m_ret,fut_10m_ret,fut_11m_ret,fut_12m_ret,Unnamed: 0_y,identifier_y,name_y,period_yyyymmdd_y,prev_1m_ret,prev_3m_ret,prev_6m_ret,prev_9m_ret,prev_12m_ret,prev_ret12m_l1m,1m_6musdvol_chg,1m_6mvol_chg,1mvt,3mvt,6mvt,12mvt,beta_1y,beta_3y,cfo_p,fcf_p,net_cfo_p,ep_ltm,bk_p,sales_p,div_yid,mcap,fy1_p,fy2_p,eps_p_ntm,hist_eps_1yg,roe,roa,sales_g,asset_tover,std_eps,si_outshs,fy1_3mchg,fy2_3mchg,earning_risk,ir_sen_2y,ir_sen_10y,ir_spread_sen,ted_sen,crb_com_sen,oil_sen,usd_idx_sen,gross_mgn,sedol,cusip,sub_ind_code_y,us3mo,us2yr,us10yr,pairwise_avg_corr_index_30day,dxy_z,gold,p_volume_1w,p_volume_1m
374,03783310,Apple Computer Inc.,1990-02-02,19900202,AAPL,45202010.0,0.0,-1.138687,17.839409,14.554739000000001,17.430651,21.810209,20.350361,7.211672999999999,0.233567,-16.554743,4.613137,25.401460999999998,27.591228000000005,379,03783310,Apple Computer Inc.,19900202,-8.053684,-21.909082,-14.913576999999998,-13.329148000000002,-12.805033,-6.434786,-0.29418099999999997,0.9902920000000001,2.854422,2.5302439999999997,2.277191,2.070539,0.9922290000000001,0.874708,0.08772200000000001,0.041485,0.065164,0.099412,0.357968,0.690012,1.205882,7785.745,0.108875,0.126176,0.11464200000000001,0.03681,32.876,17.228516,21.158686,2.111122,1.3864450000000001,,-13.498282000000001,-22.702704999999998,15.634188,-0.030947000000000002,-0.078567,-0.044623,0.028696,-0.048379000000000005,-0.19233599999999998,-0.06558,49.00045,,,45202010.0,8.234,8.315,8.486,0.214473,92.16,418.2,153.96638000000002,995.7611699999999
1355,03783310,Apple Computer Inc.,1990-02-09,19900209,AAPL,45202010.0,-1.138687,7.9854009999999995,16.744529999999997,17.109489,19.62043,31.299269,21.445251000000003,5.343056,-7.065696000000001,-7.430667,3.8686160000000003,17.737234,38.540138,1361,03783310,Apple Computer Inc.,19900209,-8.970099000000001,-25.30434,-21.681816,-18.682348,-9.385615,-11.546511,-0.29418099999999997,0.9902920000000001,2.854422,2.5302439999999997,2.277191,2.070539,0.9930549999999999,0.8610030000000001,0.08772200000000001,0.041485,0.065164,0.099412,0.357968,0.690012,1.205882,7785.745,0.108875,0.126176,0.11464200000000001,0.03681,32.876,17.228516,21.158686,2.111122,1.3864450000000001,,-13.498282000000001,-22.702704999999998,15.634188,-0.030947000000000002,-0.078567,-0.044623,0.028696,-0.048379000000000005,-0.19233599999999998,-0.06558,49.00045,,,45202010.0,8.234,8.21,8.308,0.199675,91.98,416.1,210.75041000000002,997.11365
2333,03783310,Apple Computer Inc.,1990-02-16,19900216,AAPL,45202010.0,-1.481485,19.259262,28.148151000000002,26.296293,13.659263000000001,32.918526,22.548151,10.281479,-13.422215,-10.459261999999999,8.785176,34.340752,49.896301,2340,03783310,Apple Computer Inc.,19900216,-2.910388,-24.089389999999998,-15.616107000000001,-24.69421,-5.786938,-19.348574,-0.29418099999999997,0.9902920000000001,2.854422,2.5302439999999997,2.277191,2.070539,0.991548,0.850166,0.08772200000000001,0.041485,0.065164,0.099412,0.357968,0.690012,1.205882,7785.745,0.108875,0.126176,0.11464200000000001,0.03681,32.876,17.228516,21.158686,2.111122,1.3864450000000001,,-13.498282000000001,-22.702704999999998,15.634188,-0.030947000000000002,-0.078567,-0.044623,0.028696,-0.048379000000000005,-0.19233599999999998,-0.06558,49.00045,,,45202010.0,8.105,8.298,8.406,0.195758,92.79,417.1,124.5804,914.0572
3311,03783310,Apple Computer Inc.,1990-02-23,19900223,AAPL,45202010.0,1.503766,27.067673,21.052647,19.548882,19.127834,40.932334999999995,16.872192000000002,10.060143,-15.127826,-3.849614,11.548864,30.345881,61.924828000000005,3319,03783310,Apple Computer Inc.,19900223,-1.1555549999999999,-25.452517999999998,-23.497147000000002,-26.219790999999997,-8.380956,-16.682922,-0.29418099999999997,0.9902920000000001,2.854422,2.5302439999999997,2.277191,2.070539,0.913615,0.839723,0.08772200000000001,0.041485,0.065164,0.099412,0.357968,0.690012,1.205882,7785.745,0.108875,0.126176,0.11464200000000001,0.03681,32.876,17.228516,21.158686,2.111122,1.3864450000000001,,-13.498282000000001,-22.702704999999998,15.634188,-0.030947000000000002,-0.078567,-0.044623,0.028696,-0.048379000000000005,-0.19233599999999998,-0.06558,49.00045,,,45202010.0,8.105,8.369,8.523,0.169416,91.98,415.5,161.0728,801.2339
4289,03783310,Apple Computer Inc.,1990-03-02,19900302,AAPL,45202010.0,9.259260000000001,19.259262,15.925920000000001,18.84445,23.288895,21.807407,8.474075,1.392591,-15.644444,5.837047,26.933335999999997,29.155552,66.192581,4299,03783310,Apple Computer Inc.,19900302,-1.138687,-23.04545,-23.876757,-30.469395000000002,-2.371424,-12.805033,-0.429417,0.793337,1.8799259999999998,2.5629419999999996,2.306677,2.087151,0.88574,0.8403219999999999,0.08772200000000001,0.041485,0.08301599999999999,0.099412,0.357968,0.690012,1.205882,7785.745,0.10818900000000001,0.127316,0.116159,0.03681,32.876,17.228516,21.158686,2.111122,1.38024,,-14.667945999999999,-22.004503,17.799007,-0.044755,-0.045397,0.014202000000000001,0.038555,-0.014579,-0.158985,-0.044215,49.00045,,,45202010.0,8.062000000000001,8.442,8.546,0.183344,94.0,403.0,142.92318999999998,668.94507
5267,03783310,Apple Computer Inc.,1990-03-09,19900309,AAPL,45202010.0,9.152544,8.135593,8.474565,10.806775,21.654235999999997,12.501693,-2.4542450000000002,-13.979673000000002,-14.318645000000002,-3.8237330000000003,9.057628999999999,28.379654,63.63389599999999,5284,03783310,Apple Computer Inc.,19900309,7.9854009999999995,-11.413163,-17.566670000000002,-20.861698,4.321694,-9.385615,-0.429417,0.793337,1.8799259999999998,2.5629419999999996,2.306677,2.087151,0.954685,0.85465,0.08772200000000001,0.041485,0.08301599999999999,0.099412,0.357968,0.690012,1.205882,7785.745,0.10818900000000001,0.127316,0.116159,0.03681,32.876,17.228516,21.158686,2.111122,1.38024,,-14.667945999999999,-22.004503,17.799007,-0.044755,-0.045397,0.014202000000000001,0.038555,-0.014579,-0.158985,-0.044215,49.00045,,,45202010.0,8.277000000000001,8.673,8.622,0.14766600000000002,93.53,399.8,249.25598,719.8519
6246,03783310,Apple Computer Inc.,1990-03-16,19900316,AAPL,45202010.0,4.968941,7.453417999999999,5.900608999999999,-4.695654,11.453414,2.757776,-7.527953,-27.403725,-24.91926,-8.782607,12.645971000000001,25.689447,44.310547,6265,03783310,Apple Computer Inc.,19900316,19.259262,19.585179999999998,-10.066664,-8.831453,15.375889,-5.786938,-0.429417,0.793337,1.8799259999999998,2.5629419999999996,2.306677,2.087151,1.02976,0.870539,0.08772200000000001,0.041485,0.08301599999999999,0.099412,0.357968,0.690012,1.205882,7785.745,0.10818900000000001,0.127316,0.116159,0.03681,32.876,17.228516,21.158686,2.111122,1.38024,,-14.667945999999999,-22.004503,17.799007,-0.044755,-0.045397,0.014202000000000001,0.038555,-0.014579,-0.158985,-0.044215,49.00045,,,45202010.0,8.234,8.585,8.56,0.11119200000000001,93.78,399.6,293.31958,878.3739999999999
7226,03783310,Apple Computer Inc.,1990-03-23,19900323,AAPL,45202010.0,-4.733724,-4.733724,-5.917162,-6.248516,10.911238,-8.023662,-13.384623000000001,-33.207108000000005,-24.331356,-12.213021000000001,2.5798799999999997,27.431953000000004,42.508888,7246,03783310,Apple Computer Inc.,19900323,27.067673,16.054798,-5.359334,-2.974361,24.130917,-8.380956,-0.429417,0.793337,1.8799259999999998,2.5629419999999996,2.306677,2.087151,0.975083,0.842723,0.08772200000000001,0.041485,0.08301599999999999,0.099412,0.357968,0.690012,1.205882,7785.745,0.10818900000000001,0.127316,0.116159,0.03681,32.876,17.228516,21.158686,2.111122,1.38024,,-14.667945999999999,-22.004503,17.799007,-0.044755,-0.045397,0.014202000000000001,0.038555,-0.014579,-0.158985,-0.044215,49.00045,,,45202010.0,8.234,8.566,8.512,0.130659,94.17,389.4,358.87317,1081.8611
8205,03783310,Apple Computer Inc.,1990-03-30,19900330,AAPL,45202010.0,-0.93168,-2.795035,-0.347829,3.37888,2.136636,-9.043485,-14.981376999999998,-29.267084000000004,-11.254663,6.434774,8.298135,39.354027,44.621097999999996,8223,03783310,Apple Computer Inc.,19900330,18.382359,14.496457999999999,-9.056169,-1.6484860000000001,17.035973000000002,-5.048280999999999,0.069735,1.132128,2.803586,2.538825,2.528253,2.190077,0.949946,0.834094,0.124332,0.070494,0.070126,0.083975,0.302383,0.582867,1.018633,9216.948,0.095638,0.11262899999999999,0.10413399999999999,0.03681,32.876,17.228516,21.158695,2.111122,1.38024,,0.24595300000000003,3.8167949999999995,19.293797,-0.040507,-0.021192,0.063929,0.032229,-0.0019030000000000002,-0.158722,-0.034946,49.825638,,,45202010.0,8.105,8.586,8.626,0.12373900000000002,93.73,370.2,158.9616,1164.9429
9179,03783310,Apple Computer Inc.,1990-04-06,19900406,AAPL,45202010.0,8.463955,0.313473,2.4702189999999997,12.501574,4.037619,-9.793102000000001,-20.451414,-20.764886999999998,-11.059559,0.852668,18.721007999999998,51.322876,64.163033,9201,03783310,Apple Computer Inc.,19900406,13.120567000000001,5.920529,-16.685719,-2.557582,11.93055,0.478876,0.069735,1.132128,2.803586,2.538825,2.528253,2.190077,0.8369260000000001,0.912165,0.124332,0.070494,0.070126,0.083975,0.302383,0.582867,1.018633,9216.948,0.095638,0.11262899999999999,0.10413399999999999,0.03681,32.876,17.228516,21.158695,2.111122,1.38024,,0.24595300000000003,3.8167949999999995,19.293797,-0.040507,-0.021192,0.063929,0.032229,-0.0019030000000000002,-0.158722,-0.034946,49.825638,,,45202010.0,8.105,8.481,8.545,0.116772,93.86,380.7,166.1604,1180.953
